1,1
1,22
1,23
1,29
1,30
1,56
1,57
1,75
1,76
1,100
1,101
2,22
2,23
2,29
2,30
2,31
2,55
2,56
2,57
2,75
2,76
2,101
3,22
3,23
3,29
3,30
3,31
3,32
3,54
3,55
3,56
3,57
3,75
3,76
3,101
4,22
4,23
4,30
4,31
4,32
4,33
4,53
4,54
4,55
4,56
4,75
4,76
4,77
4,101
5,22
5,23
5,31
5,32
5,33
5,34
5,52
5,53
5,54
5,55
5,75
5,76
5,77
5,78
5,101
6,22
6,23
6,32
6,33
6,34
6,35
6,51
6,52
6,53
6,54
6,76
6,77
6,78
6,79
6,101
7,22
7,23
7,33
7,34
7,35
7,36
7,50
7,51
7,52
7,53
7,77
7,78
7,79
7,80
7,101
8,22
8,23
8,34
8,35
8,36
8,37
8,49
8,50
8,51
8,52
8,78
8,79
8,80
8,81
8,101
9,22
9,23
9,35
9,36
9,37
9,38
9,49
9,50
9,51
9,79
9,80
9,81
9,101
10,22
10,23
10,36
10,37
10,38
10,39
10,49
10,50
10,80
10,81
10,101
11,22
11,23
11,37
11,38
11,39
11,40
11,49
11,50
11,80
11,81
11,101
12,22
12,23
12,38
12,39
12,40
12,41
12,49
12,50
12,80
12,81
12,101
13,22
13,23
13,39
13,40
13,41
13,42
13,49
13,50
13,80
13,81
13,101
14,22
14,23
14,40
14,41
14,42
14,43
14,49
14,50
14,80
14,81
14,101
15,22
15,23
15,41
15,42
15,43
15,44
15,49
15,50
15,80
15,81
15,101
16,22
16,23
16,42
16,43
16,44
16,45
16,49
16,50
16,80
16,81
16,101
17,22
17,23
17,43
17,44
17,45
17,46
17,49
17,50
17,80
17,81
17,101
18,22
18,23
18,44
18,45
18,46
18,47
18,49
18,50
18,80
18,81
18,101
19,22
19,23
19,45
19,46
19,47
19,48
19,49
19,50
19,80
19,81
19,101
20,22
20,23
20,24
20,46
20,47
20,48
20,49
20,50
20,80
20,81
20,101
21,22
21,23
21,24
21,25
21,49
21,50
21,80
21,81
21,101
22,23
22,24
22,25
22,26
22,49
22,50
22,80
22,81
22,101
23,24
23,25
23,26
23,27
23,49
23,50
23,80
23,81
23,101
24,25
24,26
24,27
24,28
24,49
24,50
24,80
24,81
24,101
25,26
25,27
25,28
25,29
25,49
25,50
25,80
25,81
25,101
26,27
26,28
26,29
26,30
26,31
26,32
26,33
26,34
26,35
26,36
26,37
26,38
26,39
26,40
26,41
26,42
26,43
26,44
26,45
26,46
26,47
26,48
26,49
26,50
26,80
26,81
26,101
27,28
27,29
27,30
27,31
27,32
27,33
27,34
27,35
27,36
27,37
27,38
27,39
27,40
27,41
27,42
27,43
27,44
27,45
27,46
27,47
27,48
27,49
27,50
27,80
27,81
27,101
28,49
28,50
28,80
28,81
28,101
29,49
29,50
29,80
29,81
29,101
30,49
30,50
30,80
30,81
30,101
31,40
31,41
31,42
31,43
31,44
31,45
31,46
31,47
31,48
31,49
31,50
31,80
31,81
31,101
32,39
32,40
32,41
32,42
32,43
32,44
32,45
32,46
32,47
32,48
32,49
32,50
32,51
32,80
32,81
32,101
33,1
33,2
33,3
33,4
33,5
33,6
33,7
33,8
33,9
33,10
33,11
33,12
33,13
33,14
33,15
33,16
33,17
33,18
33,19
33,20
33,21
33,38
33,39
33,40
33,41
33,49
33,50
33,51
33,52
33,80
33,81
33,101
34,1
34,2
34,3
34,4
34,5
34,6
34,7
34,8
34,9
34,10
34,11
34,12
34,13
34,14
34,15
34,16
34,17
34,18
34,19
34,20
34,21
34,22
34,37
34,38
34,39
34,40
34,50
34,51
34,52
34,53
34,80
34,81
34,101
35,20
35,21
35,22
35,23
35,24
35,25
35,26
35,27
35,28
35,29
35,30
35,31
35,32
35,33
35,34
35,35
35,36
35,37
35,38
35,39
35,51
35,52
35,53
35,54
35,80
35,81
35,101
36,21
36,22
36,23
36,24
36,25
36,26
36,27
36,28
36,29
36,30
36,31
36,32
36,33
36,34
36,35
36,36
36,37
36,38
36,52
36,53
36,54
36,55
36,80
36,81
36,101
37,36
37,37
37,53
37,54
37,55
37,56
37,80
37,81
37,101
38,36
38,37
38,54
38,55
38,56
38,57
38,80
38,81
38,101
39,36
39,37
39,55
39,56
39,57
39,58
39,80
39,81
39,101
40,36
